countrycode,seriescode,Description
BGD,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.
BGD,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
BGD,MS.MIL.XPND.ZS,1988-2008 SIPRI estimates.
BGD,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
BGD,IT.NET.BBND,Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.
BGD,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BGD,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data and long-term private nonguaranteed debt for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and not participating in 2020 and 2021.
BGD,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
BGD,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BGD,IT.CEL.SETS.P2,Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.
BGD,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
BGD,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
BGD,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
BGD,IT.NET.BBND.P2,Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.
BGD,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BGD,SM.POP.NETM,Data source: United Nations World Population Prospects
BGD,ST.INT.DPRT,Includes overnight visitors (tourists) only.
BGD,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BGD,IT.MLT.MAIN.P2,Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.
BGD,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BGD,SP.POP.TOTL,Data source: United Nations World Population Prospects
BGD,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BGD,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
BGD,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
BGD,IT.NET.USER.ZS,Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.
BGD,SP.POP.GROW,Data source: United Nations World Population Prospects
BGD,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
BGD,IT.CEL.SETS,Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.
BGD,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BGD,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BGD,IT.MLT.MAIN,Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.
BGD,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
BGD,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
BGD,SG.GEN.PARL.ZS,"In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008."
BRN,IT.CEL.SETS,Jabatan Telekom Brunei (JTB). Ministry of Communications. From 2002: Authority for Info-communications Technology Industry of Brunei Darussalam (AiTi.)
BRN,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BRN,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BRN,IT.MLT.MAIN.P2,Jabatan Telekom Brunei (JTB). Ministry of Communications. From 2002: Authority for Info-communications Technology Industry of Brunei Darussalam (AiTi.)
BRN,SP.POP.TOTL,Data source: United Nations World Population Prospects
